Date of Occurrence,Time of Occurrence,latitude,longitude,Distance from Police Station,Station,Crime Type,DateTime,hour,day_of_week,is_night,month,year,TimeOfDay,Crime_Mischief,Crime_Wrongful Restraint and Confinement,Crime_Robbery and Dacoity,Crime_Gambling-related offenses,Crime_Offences Relating to Documents,Crime_Weights & Measures,Crime_Coin & Govt Stamps,Crime_Intimidation & Annoyance,Crime_Cheating,Crime_Theft,Crime_Marriage-related Offences,Crime_Criminal Trespass,Crime_Safety,Crime_Public Servants,Crime_Offences against the State,Crime_Public Tranquillity,Crime_Traffic violations and motor vehicle offenses,Crime_Offences Affecting Life,Crime_Kidnapping,Crime_Damage to public property,Crime_Slavery and Forced Labour,Crime_Alcohol prohibition violations,Crime_Attempts to Commit Offences,Crime_Criminal Force and Assault,Crime_Cybercrimes and digital fraud,Crime_General Exceptions,Crime_Elections & Authority,Crime_Public Health,Crime_Unknown,Crime_Police-related offenses and misconduct,Crime_General criminal offenses,Crime_False Evidence & Justice,Crime_Abduction,Crime_Drug trafficking and substance abuse,Crime_Criminal Breach of Trust,Crime_Copyright infringement and intellectual property violations,Crime_Extortion,Crime_State-specific motor vehicle violations,Crime_Public safety violations,Crime_Hurt,Crime_Of Abetment,Crime_Criminal Conspiracy,CrimeSeverity,hour_normalized,day_of_week_normalized,Distance from Police Station_normalized
05-04-2023,20:32:00,18.44936641,73.85620914,2.0,1,Theft,2023-04-05 20:32:00,20,2,1,4,2023,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,0.7820409049311975,-0.4632830755444529,-0.05724529138899054
05-04-2023,20:00:00,18.45300342,73.86521654,3.0,1,"Elections & Authority, Public Health, Safety, Offences against the State, Of Abetment, Traffic violations and motor vehicle offenses",2023-04-05 20:00:00,20,2,1,4,2023,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Very High,0.7820409049311975,-0.4632830755444529,0.5115249375652409
29-06-2023,01:58:00,18.43707585,73.84578361,4.0,1,Theft,2023-06-29 01:58:00,1,3,1,6,2023,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,-1.5930587671325727,0.05442180706696883,1.0802951665194722
28-06-2023,17:54:00,18.43665176,73.8608513,3.0,1,"Elections & Authority, Public Health, Safety, Offences against the State, Of Abetment, Traffic violations and motor vehicle offenses, Offences Affecting Life",2023-06-28 17:54:00,17,2,0,6,2023,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Very High,0.407025167236918,-0.4632830755444529,0.5115249375652409
30-06-2023,23:44:00,18.42007168,73.86215584,3.0,1,"Public Health, Safety, State-specific motor vehicle violations, Offences Affecting Life, Of Abetment",2023-06-30 23:44:00,23,4,1,6,2023,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,Very High,1.157056642625477,0.5721266896783905,0.5115249375652409
30-06-2023,23:24:00,18.45776878,73.83775235,3.0,1,Theft,2023-06-30 23:24:00,23,4,1,6,2023,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,1.157056642625477,0.5721266896783905,0.5115249375652409
17-09-2023,00:16:00,18.46124077,73.86198428,2.0,1,Alcohol prohibition violations,2023-09-17 00:16:00,0,6,1,9,2023,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,-1.7180640130306657,1.607536454901234,-0.05724529138899054
26-09-2023,01:10:00,18.44351355,73.87523461,2.0,1,"Police-related offenses and misconduct, Offences against the State",2023-09-26 01:10:00,1,1,1,9,2023,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Very High,-1.5930587671325727,-0.9809879581558746,-0.05724529138899054
14-09-2023,15:25:00,18.45554077,73.87020045,2.0,1,Theft,2023-09-14 15:25:00,15,3,0,9,2023,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,0.15701467544073167,0.05442180706696883,-0.05724529138899054
14-08-2023,02:34:00,18.45565272,73.87024337,2.0,1,"Elections & Authority, Public Health, Safety, Offences against the State, Of Abetment, Traffic violations and motor vehicle offenses, Offences Affecting Life",2023-08-14 02:34:00,2,0,1,8,2023,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Very High,-1.4680535212344794,-1.4986928407672964,-0.05724529138899054
27-08-2023,00:25:00,18.43721545,73.8610177,3.0,1,Alcohol prohibition violations,2023-08-27 00:25:00,0,6,1,8,2023,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low,-1.7180640130306657,1.607536454901234,0.5115249375652409
22-09-2023,01:31:00,18.44787851,73.85805675,2.0,1,"Elections & Authority, Criminal Conspiracy, Traffic violations and motor vehicle offenses",2023-09-22 01:31:00,1,4,1,9,2023,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Low,-1.5930587671325727,0.5721266896783905,-0.05724529138899054
04-07-2023,03:56:00,18.45899086,73.85700505,1.0,1,Alcohol prohibition violations,2023-07-04 03:56:00,3,1,1,7,2023,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Very Low,-1.3430482753363862,-0.9809879581558746,-0.6260155203432219
